地名,センター,燃やせるごみ,資源プラ,金属類・ガラス類・その他,廃プラスチック類,布類・蛍光管・乾電池・食用油,空きびん・空き缶,粗大ゴミ
町1区,伊那清掃センター,火 水 *01,月 *01,水 *01,水 *01,木2 木4,日1 日3 *10,20140601
町2区,伊那清掃センター,火 水 *01,月 *01,水 *01,水 *01,木3,日1 日3 *10,20140601
町3区,伊那清掃センター,火 水 *02,月 *02,水 *02,水 *02,木1 木3,日1 日3 *10,20140601
北割区,伊那清掃センター,火 水 *03,月 *03,水 *03,水 *03,木1 木3,日1 日3 *10,20140601
南割区,伊那清掃センター,火 水,月,水,水,木1 木3,日1 日3 *10,20140601
新田区,伊那清掃センター,火 水,月,水,水,木1 木3,日1 日3 *10,20140601
大田切区,伊那清掃センター,火 水,月,水,水,木1 木3,日1 日3 *10,20140601
大久保区,伊那清掃センター,火 水,月,水,水,木4,日1 日3 *10,20140601
中越区,伊那清掃センター,火 水,月,水,水,木2 木4,日1 日3 *10,20140601
つつじが丘区,伊那清掃センター,火 水,月,水,水,木2,日1 日3 *10,20140601
北原区,伊那清掃センター,火 水,月,水,水,木4,日1 日3 *10,20140601
